id,team_id,slot,discord_username,discord_id,riot_id,pr,tracker
109,1779990113074,2,gardant,261178027071897600,Gardant#pub,4,https://tracker.gg/valorant/profile/riot/Gardant%23pub/performance
110,1779990113074,3,drakken_,176858431758663680,Drakken#Miro,3,https://tracker.gg/valorant/profile/riot/Drakken%23Miro/performance
111,1779990113074,4,dobby30,446123789944881152,Dobb#Scout,3,https://tracker.gg/valorant/profile/riot/Dobb%23Scout/performance
112,1779990113074,5,ltwrules,318466527441715211,ltwrules#NA1,0,https://tracker.gg/valorant/profile/riot/ltwrules%23NA1/performance
113,1780002028430,1,.battlegnome,455872505492668430,battlegnome#vdcL7,3,https://tracker.gg/valorant/profile/riot/BattleGnome%23VDCL7/performance?platform=pc&playlist=competitive&season=ce2783e8-44fc-dd48-3da3-33b5ba6c4a22
114,1780002028430,2,jinkari,584367818238066717,JinKarii#TTV,2,https://tracker.gg/valorant/profile/riot/JinKarii%23TTV/performance?platform=pc&playlist=competitive&season=ce2783e8-44fc-dd48-3da3-33b5ba6c4a22
115,1780002028430,3,streamingocean,849171496517369926,Honeyari#Jelly,1,https://tracker.gg/valorant/profile/riot/Honeyari%23Jelly/performance?platform=pc&playlist=competitive&season=3ea2b318-423b-cf86-25da-7cbb0eefbe2d
116,1780002028430,4,thesopsupplier,462764020672364554,TheSopSupplier#7130,4,https://tracker.gg/valorant/profile/riot/TheSopSupplier%237130/performance?platform=pc&playlist=competitive&season=ce2783e8-44fc-dd48-3da3-33b5ba6c4a22
117,1780002028430,5,justcallmebot,102159225894998016,Ophi#blind,6,https://tracker.gg/valorant/profile/riot/Ophi%23blind/performance?platform=pc&playlist=competitive&season=ce2783e8-44fc-dd48-3da3-33b5ba6c4a22
118,1780084837619,1,imsombr,982478922497265715,sombr#tubby,5,https://tracker.gg/valorant/profile/riot/sombr%23tubby/performance?platform=pc&playlist=competitive&season=9d85c932-4820-c060-09c3-668636d4df1b
119,1780084837619,2,divinegnome,266232656750968834,Gnome#tubby,5,https://tracker.gg/valorant/profile/riot/Gnome%23Tubby/performance?platform=pc&playlist=competitive&season=9d85c932-4820-c060-09c3-668636d4df1b
120,1780084837619,3,iloily,1365712879231438898,louphoria#0228,4,https://tracker.gg/valorant/profile/riot/louphoria%230228/performance?platform=pc&playlist=competitive&season=ce2783e8-44fc-dd48-3da3-33b5ba6c4a22
121,1780084837619,4,capnwinters,163529373704650752,capnwinters#garen,0,https://tracker.gg/valorant/profile/riot/Capnwinters%23Garen/performance?platform=pc&playlist=competitive&season=ce2783e8-44fc-dd48-3da3-33b5ba6c4a22
122,1780084837619,5,zyph_is_dumb,759581100883705888,NMD Baitr#zyph,2,https://tracker.gg/valorant/profile/riot/NMD%20Baitr%23zyph/performance?platform=pc&playlist=competitive&season=ce2783e8-44fc-dd48-3da3-33b5ba6c4a22
123,1780121179262,1,hjkikimorx2,1118104856683630674,hoodbiomechanics#2012X,3,https://tracker.gg/valorant/profile/riot/hoodbiomechanics%232012X/performance?platform=pc&playlist=competitive&season=ce2783e8-44fc-dd48-3da3-33b5ba6c4a22
